"","modl","CN_coupled","Veg_Demo","R_cveg_median","R_cveg_IQR","R_cveg_ag_median","R_cveg_ag_IQR","R_npp_median","R_npp_IQR","R_gpp_median","R_gpp_IQR","R_cleaf_median","R_cleaf_IQR","R_cveg_star_median","R_cveg_star_IQR","R_croot_median","R_croot_IQR","l_npp_gpp_median","l_npp_gpp_IQR","l_croot_cveg_median","l_croot_cveg_IQR","l_croot_cveg_star_median","l_croot_cveg_star_IQR","l_cveg_star_npp_median","l_cveg_star_npp_IQR","l_cleaf_cveg_median","l_cleaf_cveg_IQR"
"1","ALL",NA,NA,0.219046965402062,0.263875777923567,0.165789344147418,0.249944896538994,0.238830530267735,0.276941480201407,0.234657425720102,0.251903383264851,0.165789344147418,0.249944896538994,0.246476060440887,0.288126598816858,0.206017785136766,0.249218435794307,1.02219916538543,0.216820396043405,1.0042261926465,0.325060966679843,0.906779989388506,0.386657792874885,0.989551533244771,0.744280174143023,0.781937337174746,0.719241596382403
"2","C only models",NA,NA,0.198952958599221,0.248488045625751,0.138975346329195,0.173545992883267,0.2175094310314,0.290984232192532,0.201256781378469,0.262772909908779,0.138975346329195,0.173545992883267,0.225360712948345,0.284285155026719,0.203003101387531,0.227751174551188,1.0428234486955,0.175777122829679,1.03119289749495,0.492657913312175,0.970516841266087,0.480857094152282,0.937006676564218,0.709923811938982,0.702524116169256,0.5735891585242
"3","CN coupled models",NA,NA,0.231788840480409,0.274038828868793,0.205410072838508,0.314492408530456,0.248887173237191,0.267415723187632,0.25213432185474,0.242142854492046,0.205410072838508,0.314492408530456,0.260098207761842,0.292622335103634,0.208554621967637,0.263897784029222,0.999999839687044,0.257821057732956,1,0.231692863398506,0.879713381187615,0.338722892105647,1.0271462472754,0.746844151562704,0.845277419828884,0.814403458265127
"4","Veg Demo",NA,NA,0.235275762418118,0.246337635449357,0.160943022358399,0.202636446350644,0.232193725873993,0.288967191857237,0.224875291816802,0.267082702045766,0.160943022358399,0.202636446350644,0.267256837579275,0.264956097002213,0.223183257445698,0.181138974459421,1.02661266812164,0.266588757573545,1,0.102774036646948,0.867505686013636,0.278385097926176,1.15719580255541,1.05255291683693,0.565438585823714,0.408884477098056
"5","not Veg Demo",NA,NA,0.209273827657269,0.274968610233837,0.168461775641121,0.277555685443579,0.241910769034205,0.271718639014175,0.239109032880288,0.244940300693362,0.168461775641121,0.277555685443579,0.235218033440567,0.299762956911254,0.190235787801711,0.285912548548834,1.02055952372917,0.195905605865427,1.01542863462417,0.450752135441902,0.928794728437818,0.455899104015103,0.94721730499449,0.622904897260354,0.931139371123627,0.76581917651961
"6","CLASSIC","No","No",0.136855087845609,0.351164479268641,0.0928099576561852,0.244592231739595,0.114530677153516,0.282194878429427,0.108917812496453,0.234955296685665,0.0928099576561852,0.244592231739595,0.139548410890449,0.381609051543376,0.121912843237823,0.332177757295783,1.08496598526271,0.270889419416425,0.962752418395075,0.381942767305992,0.871125935405463,0.475543390037742,1.10687261848685,0.823648942797265,0.583517838420241,0.456381584455019
"7","IBIS","No","No",0.12038559906696,0.119484880427101,0.164280756893705,0.153915042373284,0.167649091758694,0.161752568139539,0.16748709949272,0.16089970376121,0.164280756893705,0.153915042373284,0.143277387189809,0.138016342985638,0.162441903522121,0.158818741517778,1.00035134038741,0.0860385527612282,1.12373077656944,0.779879033993069,1.01581075800307,0.556849728156024,0.934572303026594,0.455563803427751,1.0317807545397,0.56619347817846
"8","LPJ","No","Yes",0.34366558536128,0.42608832423063,NA,NA,0.227337652775114,0.243640017054602,0.185838183872391,0.142983495924221,NA,NA,0.396841608100514,0.479655818735485,NA,NA,1.21445036001357,0.361601792653672,NA,NA,NA,NA,1.4777272233262,2.22690591117807,NA,NA
"9","ORCHIDEE","Yes","No",0.286560119050507,0.299724138828554,0.347085642466544,0.393957630901417,0.288816191371406,0.369377486864548,0.306081027858848,0.395429665096548,0.347085642466544,0.393957630901417,0.323879794666965,0.330929906408849,0.278730921272451,0.320958895948021,0.961085941544266,0.181706781910105,0.973308432162438,0.246846719232295,0.834958025347564,0.248384148028022,1.03646391543668,0.607907981811808,1.06681781472807,0.683397971422143
"10","VISIT","No","No",0.172901579474434,0.263182001669144,NA,NA,0.180058928139212,0.279501461415595,0.170481722826186,0.253012354294149,NA,NA,0.194326850235193,0.311220384327539,NA,NA,1.05462230004216,0.127005387990241,NA,NA,NA,NA,0.941964566248992,0.641004800424487,NA,NA
"11","ISBA-CTRIP","No","Yes",0.228434447396404,0.0945774888617184,0.122604686508405,0.0824660080321512,0.392626773466722,0.21446756686606,0.390009795170232,0.198421817501664,0.122604686508405,0.0824660080321512,0.27070217106042,0.122149411567221,0.232013986949133,0.100243969287431,0.986039636923035,0.103947919550812,0.966845356667454,0.36254604941172,0.818822743346523,0.386576610547378,0.711198402740062,0.471041360860548,0.488849535479708,0.254575770977235
"12","CABLE-POP","Yes","Yes",0.357708964982422,0.381365748844657,0.273399561856541,0.267664964316164,0.281037005731636,0.328061103666339,0.308366151240289,0.257298288876224,0.273399561856541,0.267664964316164,0.399021119792745,0.444028117161137,0.358875101367221,0.382409823519225,1.00235145211996,0.401989121820286,1,0.0218068035604371,0.884272596841979,0.19569491501543,1.18263120692957,0.697362433196447,0.652325626944266,0.308597867616554
"13","CLM5.0","Yes","No",0.244047871390258,0.234003627217815,0.365779436659664,0.378707808427869,0.254503505977769,0.241771376924562,0.26539341607224,0.208825284003228,0.365779436659664,0.378707808427869,0.294452841285358,0.261954423050343,0.247908880225451,0.270096317871243,0.952110117378706,0.380183650300693,1.02265158012935,0.234580805917204,0.810374049221073,0.308584251410743,1.00728119751584,0.825981712689837,1.25205392807684,0.914512271452069
"14","DLEM","Yes","No",0.277781294039041,0.181533739582231,NA,NA,0.285391917966882,0.176413899520693,0.288159033544683,0.189399139172153,NA,NA,0.304193535065926,0.191101986158877,NA,NA,0.983654496526056,0.0848716193330361,NA,NA,NA,NA,1.07156983903359,0.275972484406083,NA,NA
"15","ISAM","Yes","No",0.247049462910757,0.195614136743724,NA,NA,0.314500954860332,0.180260867533394,0.308136052721726,0.152280767159891,NA,NA,0.295225201798546,0.192707533849023,0.308092243503715,0.171849374096621,1.01391403827287,0.110130832007258,1.18426243363954,0.255673395817072,1.02964838429597,0.272758218071504,0.954157927837372,0.306777886640826,NA,NA
"16","JSBACH","Yes","No",0.352634076430858,0.393474055349096,NA,NA,0.375346236942633,0.415745307915486,0.292166543113511,0.238210054758061,NA,NA,0.391957974316936,0.415405299815665,NA,NA,1.3011672115127,0.421207331497245,NA,NA,NA,NA,0.926578655127289,1.05695749833185,NA,NA
"17","JULES","Yes","No",0.14396986781673,0.258164631256661,0.0934323578611239,0.193960115200412,0.253945947337044,0.247558011301903,0.246801127057589,0.287893894186199,0.0934323578611239,0.193960115200412,0.158562658801537,0.269945605828382,0.0934323635746025,0.193960084153641,0.986400163176377,0.351292662200659,0.768112388553204,0.44929920264736,0.685807860328333,0.503727626390735,0.574994791279263,0.594661624744901,0.685807816304504,0.503727279693758
"18","LPJ-GUESS","Yes","Yes",0.246457500113721,0.374704801339359,0.189539776564745,0.259614317565126,0.248300194776456,0.29027278242737,0.246612967500296,0.274429857994945,0.189539776564745,0.259614317565126,0.248968167587724,0.390649623582143,NA,NA,1.05366563540108,0.308626531909985,NA,NA,NA,NA,0.979321334546419,1.16299342099138,0.665546922540014,0.785758189752861
"19","LPX-Bern","Yes","No",0.0931350220206905,0.156460160252037,0.130014264234445,0.163966971593184,0.170742452102709,0.162685337450564,0.20572008366374,0.146837059495405,0.130014264234445,0.163966971593184,0.106364235050571,0.169573752397282,0.111122326330639,0.142337263729411,0.900023131958691,0.346348402890566,1.0203359413543,0.976484922836577,0.985807768932947,0.953597230660865,0.637246052090121,0.729995987802595,1.09694691114419,1.08111084157645
"20","VISIT-NIES","No","No",0.201564474059539,0.301725975369603,0.171901529249916,0.270995727371878,0.237532157352175,0.34578422660104,0.221822706365997,0.314076648070338,0.171901529249916,0.270995727371878,0.226773713096848,0.357745245102932,0.251918340231723,0.392876367909002,1.0588205291841,0.133331872945871,1.15436753799177,0.455475156484284,1.03809585804479,0.423722624981471,0.892814152569459,0.560540376534271,0.815467474744216,0.551677586496555
"21","SDGVM","Yes","Yes",0.171217784168412,0.0784005418561541,NA,NA,0.123659231542267,0.0604466200488697,0.12762688331518,0.0738682937697938,NA,NA,0.192417563454173,0.0838204411724819,0.171867680713172,0.0853729613710413,1.00811687978597,0.219891041285693,0.995681234897316,0.0839223779527339,0.880628843304832,0.275710509951175,1.5202842924954,0.586598515939637,NA,NA
